,market,start,base_price,end,last_price,increase,pump_length,date_listing,pump_to_listing
154,BATBTC,2017-12-07,1.1388e-05,2018-01-09,6.103e-05,4.359149982437653,33 days,2017-11-13,24 days
155,BATBTC,2018-04-06,2.7348e-05,2018-05-01,5.57e-05,1.0367120081907268,25 days,2017-11-13,144 days
156,BATBTC,2021-02-23,1.009e-05,2021-03-17,2.098e-05,1.079286422200198,22 days,2017-11-13,1198 days
157,BATUSDT,2021-01-31,0.30726000000000003,2021-03-17,1.2342,3.0167935950009754,45 days,2019-03-04,699 days
158,BCHBTC,2023-06-20,0.00397,2023-06-30,0.00999,1.5163727959697737,10 days,2019-11-28,1300 days
159,BCHUSDT,2023-06-14,102.74,2023-06-30,304.2,1.960872104341055,16 days,2019-11-28,1294 days
160,BEAMXUSDT,2023-11-21,0.0084346,2023-12-14,0.023944,1.8387831076755268,23 days,2023-11-14,7 days
161,BELBTC,2021-01-07,2.5078e-05,2021-02-12,7.341e-05,1.9272669271871763,36 days,2020-09-15,114 days
162,BELBTC,2022-05-14,1.0301999999999999e-05,2022-06-07,5.804e-05,4.633857503397399,24 days,2020-09-15,606 days
163,BELUSDT,2020-11-05,0.6929799999999999,2020-11-20,1.4006,1.021126150826864,15 days,2020-09-15,51 days
164,BELUSDT,2021-01-12,0.8840399999999999,2021-02-12,3.474,2.929686439527624,31 days,2020-09-15,119 days
165,BELUSDT,2021-02-26,1.93224,2021-04-07,5.4881,1.8402786403345341,40 days,2020-09-15,164 days
166,BELUSDT,2022-05-18,0.3058,2022-06-07,1.805,4.902550686723348,20 days,2020-09-15,610 days
167,BLZBTC,2020-05-18,1.582e-06,2020-06-17,4.19e-06,1.648546144121365,30 days,2018-02-06,832 days
168,BLZBTC,2020-06-30,2.9279999999999997e-06,2020-08-03,1.249e-05,3.265710382513662,34 days,2018-02-06,875 days
169,BLZBTC,2021-01-08,2.012e-06,2021-02-01,4.89e-06,1.430417495029821,24 days,2018-02-06,1067 days
170,BLZBTC,2021-02-23,3.374e-06,2021-03-27,9.85e-06,1.9193835210432724,32 days,2018-02-06,1113 days
171,BLZBTC,2022-05-27,2.59e-06,2022-06-10,5.74e-06,1.216216216216216,14 days,2018-02-06,1571 days
172,BLZBTC,2023-08-05,1.728e-06,2023-09-19,7.79e-06,3.5081018518518516,45 days,2018-02-06,2006 days
173,BLZUSDT,2021-01-03,0.069916,2021-02-16,0.24081,2.4442759883288514,44 days,2020-08-11,145 days
174,BLZUSDT,2021-02-23,0.157558,2021-04-08,0.55067,2.4950304015029388,44 days,2020-08-11,196 days
175,BLZUSDT,2022-05-27,0.07594000000000001,2022-06-09,0.1713,1.255728206478799,13 days,2020-08-11,654 days
176,BLZUSDT,2023-08-05,0.05038,2023-09-19,0.2121,3.2100039698292973,45 days,2020-08-11,1089 days
177,BLZUSDT,2023-10-13,0.1169,2023-10-31,0.2958,1.5303678357570574,18 days,2020-08-11,1158 days
178,BNBDOWNUSDT,2021-04-12,0.00019514,2021-04-18,23.379,119805.2929179051,6 days,2020-08-06,249 days
179,BNBDOWNUSDT,2022-05-30,0.052522,2022-06-18,0.12656,1.409656905677621,19 days,2020-08-06,662 days
180,BNBUPUSDT,2020-09-05,7.1518,2020-09-13,21.22,1.9670852093179338,8 days,2020-08-06,30 days
181,BNBUPUSDT,2020-12-11,14.0642,2021-02-19,930.677,65.17347591757796,70 days,2020-08-06,127 days
182,BNBUPUSDT,2021-03-25,494.36,2021-04-12,2026.97,3.1001901448337246,18 days,2020-08-06,231 days
183,BNBUPUSDT,2021-07-28,244.274,2021-08-25,659.17,1.698486126235293,28 days,2020-08-06,356 days
184,BNBUPUSDT,2021-09-28,218.03799999999998,2021-11-08,936.61,3.2956273677065466,41 days,2020-08-06,418 days
185,BNBBTC,2017-07-31,3.689e-05,2017-08-21,0.000682,17.48739495798319,21 days,2017-07-14,17 days
186,BNBBTC,2017-09-21,0.000199306,2017-10-02,0.00044754,1.2454918567428979,11 days,2017-07-14,69 days
187,BNBBTC,2017-12-12,0.000161652,2018-01-12,0.001616,8.996783213322447,31 days,2017-07-14,151 days
188,BNBBTC,2018-03-11,0.00087558,2018-04-06,0.0018557,1.119395143790402,26 days,2017-07-14,240 days
189,BNBBTC,2021-01-29,0.00128008,2021-02-19,0.0059603,3.6561933629148173,21 days,2017-07-14,1295 days
190,BNBBTC,2021-03-25,0.0046907599999999995,2021-05-16,0.012144,1.5889194927900812,52 days,2017-07-14,1350 days
191,BNBUSDT,2017-11-23,1.59876,2018-01-06,22.6,13.135955365408194,44 days,2017-11-06,17 days
192,BNBUSDT,2021-01-27,40.90052,2021-02-19,333.111,7.144419679749792,23 days,2017-11-06,1178 days
193,BNBUSDT,2021-03-25,251.1984,2021-04-12,596.71,1.3754530283632382,18 days,2017-11-06,1235 days
194,BNTBTC,2017-12-07,0.00016688600000000001,2018-01-14,0.00071,3.2544012080102585,38 days,2017-10-17,51 days
195,BNTBTC,2020-05-07,2.078e-05,2020-07-18,0.00018277,7.795476419634262,72 days,2017-10-17,933 days
196,BNTBTC,2021-02-08,6.038e-05,2021-03-08,0.00017515,1.9007949652202716,28 days,2017-10-17,1210 days
197,BNTBTC,2023-11-02,1.5292000000000002e-05,2023-11-12,3.968e-05,1.5948208213444934,10 days,2017-10-17,2207 days
198,BNTUSDT,2020-05-11,0.18872,2020-08-08,2.6427,13.00328529037728,89 days,2020-02-06,95 days
199,BNTUSDT,2020-11-04,0.5588000000000001,2020-11-21,1.1763,1.1050465282748743,17 days,2020-02-06,272 days
200,BNTUSDT,2021-01-31,1.90628,2021-03-08,9.1718,3.8113603458043936,36 days,2020-02-06,360 days
201,BNTUSDT,2023-11-02,0.53048,2023-11-12,1.4695,1.7701327099984923,10 days,2020-02-06,1365 days
202,BNXBTC,2022-03-01,0.0005768,2022-06-18,0.00744,11.898751733703191,109 days,2021-11-04,117 days
203,BNXBTC,2023-02-01,0.0036414,2023-02-13,0.008041,1.2082166199813258,12 days,2021-11-04,454 days
204,BNXUSDT,2022-02-23,22.740000000000002,2022-04-10,117.0,4.145118733509234,46 days,2021-11-04,111 days
205,BNXUSDT,2023-01-30,85.67999999999999,2023-02-16,175.5,1.0483193277310927,17 days,2021-11-04,452 days
206,BONDBTC,2022-07-10,0.00013946,2022-07-24,0.000964,5.912376308618959,14 days,2021-07-05,370 days
207,BONDBTC,2023-10-12,6.27e-05,2023-10-14,0.0001995,2.1818181818181817,2 days,2021-07-05,829 days
208,BONDUSDT,2022-07-02,2.82,2022-07-24,21.651,6.677659574468085,22 days,2021-07-05,362 days
209,BONDUSDT,2023-10-12,1.7007999999999999,2023-10-14,5.369,2.156749764816557,2 days,2021-07-05,829 days
210,BTCDOWNUSDT,2021-05-08,0.040824,2021-05-19,0.08698,1.1306094454242603,11 days,2020-05-14,359 days
211,BTCDOWNUSDT,2021-12-24,0.0104642,2022-01-22,0.02374,1.2686875250855298,29 days,2020-05-14,589 days
212,BTCDOWNUSDT,2022-05-31,0.018968000000000002,2022-06-18,0.049723,1.6214150147617037,18 days,2020-05-14,747 days
213,BTCUPUSDT,2020-12-11,25.5182,2021-01-08,116.499,3.565329843014005,28 days,2020-05-14,211 days
214,BTCUPUSDT,2021-01-27,64.704,2021-02-21,191.686,1.962506181998022,25 days,2020-05-14,258 days
215,BTCUPUSDT,2021-07-20,39.223600000000005,2021-09-06,117.586,1.9978380362842774,48 days,2020-05-14,432 days
216,BTCUPUSDT,2021-09-21,57.6674,2021-10-20,160.228,1.7784848978799115,29 days,2020-05-14,495 days
217,BTCUSDT,2017-11-23,8165.168,2017-12-16,19102.7,1.3395354510770632,23 days,2017-08-17,98 days
218,BTTCUSDT,2023-11-29,4.6e-07,2023-12-11,1.38e-06,1.9999999999999998,12 days,2022-01-25,673 days
219,C98BTC,2021-08-13,2.5406e-05,2021-08-27,0.00010778,3.2423049673305515,14 days,2021-07-23,21 days
220,C98USDT,2021-08-05,1.1167200000000002,2021-08-27,5.285,3.732609785801275,22 days,2021-07-23,13 days
221,CAKEUSDT,2021-03-19,9.9024,2021-04-29,42.679,3.3099652609468415,41 days,2021-02-19,28 days
222,CAKEUSDT,2023-10-21,1.1444,2023-11-15,2.692,1.3523243621111498,25 days,2021-02-19,974 days
223,CELOBTC,2021-06-21,6.173200000000001e-05,2021-06-26,0.00013537,1.1928659366293004,5 days,2021-01-05,167 days
224,CELOUSDT,2021-08-18,2.97724,2021-08-30,7.128,1.394163722105037,12 days,2021-01-05,225 days
225,CELRBTC,2019-05-09,1.17e-06,2019-05-20,2.66e-06,1.2735042735042734,11 days,2019-03-25,45 days
226,CELRBTC,2021-02-23,3.5399999999999997e-07,2021-03-27,1.64e-06,3.6327683615819213,32 days,2019-03-25,701 days
227,CELRBTC,2021-08-26,9.079999999999999e-07,2021-09-24,4.17e-06,3.592511013215859,29 days,2019-03-25,885 days
228,CELRUSDT,2019-05-09,0.007996,2019-05-20,0.02114,1.6438219109554777,11 days,2019-03-25,45 days
229,CELRUSDT,2020-08-02,0.006548,2020-08-14,0.01319,1.01435552840562,12 days,2019-03-25,496 days
230,CELRUSDT,2021-01-21,0.0069500000000000004,2021-03-27,0.09207,12.247482014388488,65 days,2019-03-25,668 days
