,market,last_slope,last_slope_adi,aroon_up,aroon_down,aroon_diff,macd_diff,macd_line,macd_signal,stochastic,stochastic_signal,delta_stochastic,rsi_val,coef_corr,last_slope_btc,prob_last_slope,prob_macd,prob_macd_diff,prob_stochastic,prob_rsi,prob_corr_btc,avg prob,logreg,rf,avg,init_price,max_price,cur_price,% to max,% to last
280,IOSTBTC,-0.24016116,0.174969109,0,84,-84,0.013952246,-1.905417222,-1.919369469,50,33.33333333,16.66666667,46.20684067,-0.729493397,2.346306542,0.488665154,0.523549192,0.476192368,0.330060616,0.487714705,1,0.551030339,0.835714324,0.7,0.767857162,1.80E-07,1.80E-07,1.80E-07,0.00%,0.00%
484,SKLBTC,1.75768025,-0.140431997,0,76,-76,1.021744698,-0.152520613,-1.174265311,46.51162791,46.51162791,2.84E-14,54.33853119,0.272329175,2.346306542,0.408193433,0.397340417,0.587218883,0.556359057,0.551501477,0.721178958,0.536965371,0.721822838,0.8,0.760911419,1.76E-06,1.78E-06,1.77E-06,1.14%,0.57%
407,PENDLEUSDT,-0.276126959,-0.591439843,72,0,72,-1.753121591,8.879013762,10.63213535,26.8829664,45.21328044,-18.33031404,55.67495265,0.797832015,3.006984628,0.516584367,0.632940406,0.692773116,0.462994012,0.556216174,0.696890491,0.593066428,0.819041437,0.7,0.759520719,2.9613,3.6109,3.2994,21.94%,11.42%
338,MANAUSDT,0.431063856,1.269959975,100,0,100,1.216611089,1.999177968,0.782566879,62.94736842,81.14107334,-18.19370492,56.09152253,0.080493263,2.346306542,0.605173561,0.534790427,0.408193433,0.5,0.540453129,0.77521556,0.560637685,0.819023329,0.7,0.759511665,0.488,0.7115,0.6917,45.80%,41.74%
565,VOXELUSDT,2.215619919,-0.119625692,80,52,28,2.385473233,3.503740942,1.118267709,69.46107784,70.65868263,-1.19760479,64.16673506,0.185000246,2.346306542,0.177323181,1,0.301231105,0.436923927,0.386002248,0.77521556,0.51278267,0.91037263,0.6,0.755186315,0.2385,0.3328,0.3166,39.54%,32.75%
110,BTTCUSDT,0.346263357,0.114041444,64,0,64,2.208662217,3.095007031,0.886344814,72.97297297,76.57657658,-3.603603604,60.73583278,0.692821656,2.346306542,0.537240717,0.721178958,0.508505787,0.496309134,0.456189115,0.632940406,0.558727353,0.81011488,0.7,0.75505744,1.06E-06,2.15E-06,1.67E-06,102.83%,57.55%
448,RDNTBTC,-0.60450387,-0.018863081,0,96,-96,-0.095961585,-2.821188832,-2.725227247,28.44036697,17.30181134,11.13855563,37.60798845,-0.647445694,3.133111322,0.502427262,0.459366329,0.488847676,0.346648733,0.494804736,0.873376257,0.527578499,0.705616291,0.8,0.752808146,5.94E-06,6.15E-06,6.10E-06,3.54%,2.69%
3,ACABTC,0.411746451,-0.561829503,72,28,44,-0.108570256,0.468458956,0.577029212,24.67532468,26.97510823,-2.29978355,48.91959963,-0.296350099,2.346306542,0.607802411,0.453181071,0.483268878,0.559583135,0.524385023,0.632940406,0.543526821,0.697969171,0.8,0.748984586,2.18E-06,2.20E-06,2.18E-06,0.92%,0.00%
12,ADXBTC,-0.466229176,0.18570608,0,88,-88,0.084189013,-2.061839235,-2.146028249,27.08333333,29.86111111,-2.777777778,39.75147774,-0.669358707,2.346306542,0.442338497,0.494499872,0.454519031,0.579740571,0.465397099,0.721178958,0.526279005,0.780130108,0.7,0.740065054,3.79E-06,3.81E-06,3.81E-06,0.53%,0.53%
380,NULSUSDT,3.34377434,-1.005265977,88,52,36,3.818031804,5.938500006,2.120468202,36.80884676,46.7087941,-9.899947341,54.03470258,0.260080425,2.346306542,0.534790427,0.5,0,0.759691307,0.547627244,0.721178958,0.510547989,0.874111188,0.6,0.737055594,0.2626,0.34,0.3338,29.47%,27.11%
209,FIOBTC,-2.085165402,0.164628788,64,28,36,-0.433914618,1.666575266,2.100489884,18.96551724,18.3908046,0.574712644,51.00776512,-0.55986975,2.346306542,0.733969339,0.65291187,0.525096775,0.583947591,0.544071019,0.632940406,0.612156167,0.871744579,0.6,0.73587229,6.70E-07,6.80E-07,6.80E-07,1.49%,1.49%
379,NULSBTC,-0.20905031,-0.793854147,84,76,8,0.6360677,-0.716628981,-1.35269668,33.92070485,30.98384728,2.936857562,49.99057958,-0.668705934,2.346306542,0.48512948,0.382819277,0.39419616,0.632940406,0.524325166,0.721178958,0.523431575,0.758292892,0.7,0.729146446,5.11E-06,5.32E-06,5.32E-06,4.11%,4.11%
69,AVAUSDT,0.813458382,0.507629613,100,56,44,1.689539157,-0.241090751,-1.930629908,83.90410959,88.43887113,-4.534761541,56.99766272,0.215139962,2.346306542,0.547657887,0.408193433,0.223235939,0.462994012,0.512536326,1,0.525769599,0.843174232,0.6,0.721587116,0.5883,0.8782,0.8414,49.28%,43.02%
