,Unnamed: 0,coin,base_date,base_price,max_date,max_price,pct_change,pump_length,date_listing,pump_to_listing,state
449,449,pols,29-12-2020,0.3394015466751281,17-02-2021,6.474662900253422,18.07670416850194,55,29-09-2020,91,bullish
450,450,poly,05-02-2021,0.08859914332438237,31-03-2021,0.6657379939571786,6.514045497254468,62,09-02-2018,1092,bearish
453,453,pre,09-01-2020,0.002760621388941657,15-02-2020,0.05179112473768152,17.76067647129864,46,07-12-2017,763,bearish
454,454,pre,13-12-2020,0.011157833468395734,31-01-2021,0.09037420678804718,7.099619611999921,53,07-12-2017,1102,bearish
455,455,pre,15-08-2021,0.022091538677290003,06-10-2021,0.4473646537606823,19.2504977265604,80,07-12-2017,1347,bullish
457,457,pro,26-04-2020,0.038282410573974086,14-05-2020,0.2487486535017037,5.497727018026731,22,29-10-2017,910,bearish
458,458,prom,01-02-2021,2.3200004774546485,18-02-2021,25.91288442992088,10.169344438390283,23,29-06-2019,583,bullish
459,459,prq,08-11-2020,0.01620083226686416,10-11-2020,0.2124878251433664,12.115858595608781,33,05-08-2020,95,bullish
460,460,prq,16-12-2020,0.11595584971172213,22-02-2021,1.743857424031837,14.038977579546366,75,05-08-2020,133,bearish
462,462,qkc,13-02-2021,0.0057538435703848026,03-04-2021,0.05997698148828875,9.423811623414995,79,05-06-2018,984,bullish
464,464,qnt,23-05-2019,1.8603993107060404,09-07-2019,13.428158895482616,6.217890706692691,47,30-06-2018,327,bearish
467,467,qtum,12-12-2017,11.2272,06-01-2018,100.224,7.926891834117143,27,14-06-2017,181,bearish
468,468,quack,12-10-2021,4.808151412369282e-11,07-11-2021,1.1613775187015238e-08,240.54345799381542,39,16-06-2021,118,bullish
473,473,rari,19-01-2021,1.6081456709265416,30-03-2021,44.634995681575184,26.755567476582197,88,17-07-2020,186,bearish
474,474,ray,16-08-2021,2.5246216794696403,13-09-2021,16.637454226364884,5.590078173558264,54,21-02-2021,176,bullish
476,476,rdpx,24-12-2021,29.622632616310128,17-01-2022,299.461320363141,9.109206843359985,34,25-06-2021,182,bearish
